#          omega,            hol_g,         drho-ref,       drho-ref-1,       drho-ref-2,       drho-ref-3
      2.00000000,       0.00000000,       0.00000000,       0.00000000,       0.00000000,       0.00000000
      2.00000000,       0.25000000,       0.00000000,       0.00000113,       0.02169932,       0.00000000
      2.00000000,       0.50000000,       0.00000000,       0.00022374,       0.12336583,       0.00000000
      2.00000000,       0.75000000,       0.00000000,       0.07003466,       0.27074540,       0.00000000
      2.00000000,       1.00000000,       0.00000000,       0.12733056,       0.44721360,       0.00000000
      2.00000000,       1.25000000,       0.00000000,       0.20494408,       0.61564404,       0.00000000
      2.00000000,       1.50000000,       0.00000000,       0.31925169,       0.74740932,       0.00000000
      2.00000000,       1.75000000,       0.00000000,       0.63975933,       0.83727050,       0.00000000
      2.00000000,       2.00000000,       0.00000000,       0.84184694,       0.89442719,       0.00000000
      2.00000000,       2.25000000,       0.10390636,       0.91086503,       0.93005199,       0.00000000
      2.00000000,       2.50000000,       0.32954659,       0.94436113,       0.95242415,       0.00000000
      2.00000000,       2.75000000,       0.64670874,       0.96304183,       0.96676333,       0.00000000
      2.00000000,       3.00000000,       0.87412111,       0.97434178,       0.97618706,       0.00000000
      2.00000000,       3.25000000,       0.98157175,       0.98157175,       0.98254153,       0.00000000
      2.00000000,       3.50000000,       0.98639780,       0.98639780,       0.98693288,       0.00000000
      2.00000000,       3.75000000,       0.98972954,       0.98972954,       0.99003731,       0.00000000
      2.00000000,       4.00000000,       0.99209437,       0.99209437,       0.99227788,       0.00000000
      2.00000000,       4.25000000,       0.99381268,       0.99381268,       0.99392560,       0.00000000
      2.00000000,       4.50000000,       0.99508663,       0.99508663,       0.99515809,       0.00000000
      2.00000000,       4.75000000,       0.99604789,       0.99604789,       0.99609424,       0.00000000
      2.00000000,       5.00000000,       0.99678453,       0.99678453,       0.99681528,       0.00000000

