#          omega,            hol_g,           mf-ene,          cc2-ene,        cc2-ene-1,        cc2-ene-2,        cc2-ene-3,          cc2-ref,        cc2-ref-1,        cc2-ref-2,        cc2-ref-3
      2.00000000,       0.00000000,      -2.00000000,      -2.00000000,      -2.00000000,              nan,      -2.00000000,      -2.00000000,      -2.00000000,              nan,      -2.00000000
      2.00000000,       0.25000000,      -2.00048828,      -2.01807613,      -2.01852203,              nan,      -2.01816602,      -2.00002583,      -2.00048828,              nan,      -2.00048828
      2.00000000,       0.50000000,      -2.00195311,      -2.07250566,      -2.07411466,              nan,      -2.07411469,      -2.00025178,      -2.00195311,              nan,      -2.00195312
      2.00000000,       0.75000000,      -2.00662667,      -2.16387198,      -2.16885100,              nan,      -2.17260183,      -1.99527349,      -2.00662668,              nan,      -2.00439453
      2.00000000,       1.00000000,      -2.02099006,      -2.29309790,      -2.30217955,      -2.13417375,      -2.29525986,      -2.01079667,      -2.02099006,      -1.92301846,      -2.00781250
      2.00000000,       1.25000000,      -2.05184335,      -2.46140792,      -2.45504017,      -2.18646278,      -2.46130820,      -2.00995770,      -2.05184335,      -1.90768311,      -2.01220703
      2.00000000,       1.50000000,      -2.11025407,      -2.67038229,      -2.65469646,      -2.30815361,      -2.67044980,      -2.02032755,      -2.11025407,      -1.98399947,      -2.01757812
      2.00000000,       1.75000000,      -2.23139318,      -2.92201516,      -2.87032551,      -2.52500599,      -2.93237791,      -1.97979028,      -2.23139318,      -2.18399277,      -2.02392578
      2.00000000,       2.00000000,      -2.51815263,      -3.21900350,      -3.11480496,      -2.79069597,      -3.23992865,      -1.99201158,      -2.51815263,      -2.50439613,      -2.03125000
      2.00000000,       2.25000000,      -2.93471815,      -3.56500815,      -3.32863450,      -3.13912271,      -3.56981719,      -2.02575897,      -2.93471815,      -2.93013801,      -2.03955078
      2.00000000,       2.50000000,      -3.44932667,      -3.96465717,      -3.67334027,      -3.58986767,      -3.94647196,      -2.47873683,      -3.44932667,      -3.44764409,      -2.04882812
      2.00000000,       2.75000000,      -4.04811107,      -4.44218975,      -4.17848359,      -4.14504235,      -4.37472447,      -3.42068244,      -4.04811107,      -4.04743978,      -2.05908203
      2.00000000,       3.00000000,      -4.72362937,      -5.02335985,      -4.80752156,      -4.79206754,      -4.83379423,      -4.52659245,      -4.72362937,      -4.72334170,      -2.07031250
      2.00000000,       3.25000000,      -5.47146341,      -5.69055697,      -5.52391128,      -5.51836399,      -5.30290075,      -5.47146357,      -5.47146341,      -5.47133220,      -2.08251953
      2.00000000,       3.50000000,      -6.28881672,      -6.44426383,      -6.32566149,      -6.32288271,      -5.68127583,      -6.28881724,      -6.28881672,      -6.28875352,      -2.09570312
      2.00000000,       3.75000000,      -7.17383552,      -7.28293840,      -7.20061175,      -7.19910129,      -5.56862437,      -7.17383591,      -7.17383552,      -7.17380357,      -2.10986328
      2.00000000,       4.00000000,      -8.12524607,      -8.20287882,      -8.14521792,      -8.14436438,      -5.96862032,      -8.12524607,      -8.12524607,      -8.12522923,      -2.12500000
      2.00000000,       4.25000000,      -9.14214739,      -9.19975800,      -9.15742004,      -9.15687827,      -6.37763184,      -9.14214750,      -9.14214739,      -9.14213816,      -2.14111328
      2.00000000,       4.50000000,     -10.22388645,     -10.26947434,     -10.23572145,     -10.23541801,              nan,     -10.22388713,     -10.22388645,     -10.22388123,      -2.15820312
      2.00000000,       4.75000000,     -11.36998007,     -11.40890680,     -11.37932656,     -11.37913870,              nan,     -11.36998007,     -11.36998007,     -11.36997702,      -2.17626953
      2.00000000,       5.00000000,     -12.58006421,     -12.61576883,     -12.58755090,     -12.58742673,              nan,     -12.58006421,     -12.58006421,     -12.58006238,      -2.19531250

